,file_path,fourier_final_prediction,fourier_confidence_score,soft_final_prediction,soft_confidence_score,binary_final_prediction,binary_confidence_score,best_method,best-method,highest_confidence,final_prediction,actual_license_plate,valid
0,Data/images/train/Cars207.png,8MYKOT0IH075ERTGVSRAORNE,0.8204206004738808,89MYKOGT0IH075ERTGVSRAORNE,0.7995357238329374,MYKOTDIH7F5ERGCRAR,0.7671289245287577,fourier_confidence_score,fourier,0.8204206004738808,8MYKOT0IH075ERTGVSRAORNE,K817GR,1
1,Data/images/train/Cars213.png,21D,0.7809494336446127,21D,0.767585555712382,321D,0.6627404242753983,fourier_confidence_score,fourier,0.7809494336446127,21D,"DID, 2",0
2,Data/images/train/Cars53.png,CHI00SE,0.8861231803894043,CHI00SE,0.8857950483049665,CWI00SE,0.8478572624070304,fourier_confidence_score,fourier,0.8861231803894043,CHI00SE,CHI00SE,1
3,Data/images/train/Cars47.png,S799,0.8556815087795258,S799,0.8535347580909729,,,fourier_confidence_score,fourier,0.8556815087795258,S799,"5H798,5H799",2
4,Data/images/train/Cars90.png,,,,,,,,,,,,0
5,Data/images/train/Cars159.png,DL7CGN56417,0.8599867062135176,DL47GCN5417,0.8547512021931735,DL7CGN536117,0.8344481339057287,fourier_confidence_score,fourier,0.8599867062135176,DL7CGN56417,DL7CN5617,1
6,Data/images/train/Cars84.png,WR26BC595S4,0.8524417768825184,WR26BC559S4,0.8511301929300482,MRBC55M,0.7882053766931806,fourier_confidence_score,fourier,0.8524417768825184,WR26BC595S4,HR26BC5514,1
7,Data/images/train/Cars171.png,BJR8216,0.8169072100094387,BJR8216,0.8232908759798322,BJUR1716,0.7785132527351379,soft_confidence_score,soft,0.8232908759798322,BJR8216,BJR216,1
8,Data/images/train/Cars165.png,NW21AU116513,0.8099172314008077,NW21AU116513,0.8070897360642751,KWN163153,0.6801850994427999,fourier_confidence_score,fourier,0.8099172314008077,NW21AU116513,TN21AU1153,1
9,Data/images/train/Cars398.png,MMN306,0.9002578059832255,MMN306,0.9014839033285776,,,soft_confidence_score,soft,0.9014839033285776,MMN306,MMN306,1
